variant,n,total_return_mean,total_return_wins,total_return_losses,annualized_return_mean,annualized_return_wins,annualized_return_losses,annualized_volatility_mean,annualized_volatility_wins,annualized_volatility_losses,max_drawdown_abs_mean,max_drawdown_abs_wins,max_drawdown_abs_losses,sharpe_ratio_mean,sharpe_ratio_wins,sharpe_ratio_losses,turnover_amount_ratio_mean,turnover_amount_ratio_wins,turnover_amount_ratio_losses,annualized_turnover_amount_mean,annualized_turnover_amount_wins,annualized_turnover_amount_losses,trade_count_mean,trade_count_wins,trade_count_losses,order_count_mean,order_count_wins,order_count_losses,rejected_order_count_mean,rejected_order_count_wins,rejected_order_count_losses,skipped_order_count_mean,skipped_order_count_wins,skipped_order_count_losses,skipped_below_lot_or_cash_count_mean,skipped_below_lot_or_cash_count_wins,skipped_below_lot_or_cash_count_losses,max_pending_intent_count_mean,max_pending_intent_count_wins,max_pending_intent_count_losses,average_cash_weight_mean,average_cash_weight_wins,average_cash_weight_losses
single_515080,17,98.04435684538554,5,12,98.24961959970659,5,12,101.60315406308428,13,4,105.22125496460173,11,6,96.67992130555334,3,14,105.99323504537455,13,4,105.99323504537455,13,4,102.27233012556688,8,5,102.48396202072259,9,5,100.0,2,0,100.91545709192769,5,7,100.91545709192769,5,7,100.0,0,0,101.21533073456249,9,8
single_563020,17,96.77437384608166,1,16,97.12382872713066,1,16,99.91855488032562,5,12,102.59378310449333,11,6,97.19214600322819,1,16,101.13340118251683,12,5,101.13340118251683,12,5,101.5013437441692,9,6,101.53990601869776,9,6,100.0,1,0,96.48968678380442,7,8,96.48968678380442,7,8,100.0,0,0,100.96871503992278,10,7
