variant,n,total_return_mean,total_return_median,total_return_wins,total_return_losses,annualized_return_mean,annualized_return_median,annualized_return_wins,annualized_return_losses,annualized_volatility_mean,annualized_volatility_median,annualized_volatility_wins,annualized_volatility_losses,max_drawdown_abs_mean,max_drawdown_abs_median,max_drawdown_abs_wins,max_drawdown_abs_losses,sharpe_ratio_mean,sharpe_ratio_median,sharpe_ratio_wins,sharpe_ratio_losses,turnover_amount_ratio_mean,turnover_amount_ratio_median,turnover_amount_ratio_wins,turnover_amount_ratio_losses,annualized_turnover_amount_mean,annualized_turnover_amount_median,annualized_turnover_amount_wins,annualized_turnover_amount_losses,trade_count_mean,trade_count_median,trade_count_wins,trade_count_losses,order_count_mean,order_count_median,order_count_wins,order_count_losses,rejected_order_count_mean,rejected_order_count_median,rejected_order_count_wins,rejected_order_count_losses,skipped_order_count_mean,skipped_order_count_median,skipped_order_count_wins,skipped_order_count_losses,skipped_below_lot_or_cash_count_mean,skipped_below_lot_or_cash_count_median,skipped_below_lot_or_cash_count_wins,skipped_below_lot_or_cash_count_losses,max_pending_intent_count_mean,max_pending_intent_count_median,max_pending_intent_count_wins,max_pending_intent_count_losses,average_cash_weight_mean,average_cash_weight_median,average_cash_weight_wins,average_cash_weight_losses
single_515080,187,97.99500163461268,97.54887503076382,50,137,98.11499571127707,97.66624102535638,50,137,102.5415790538543,102.55341015206344,160,27,107.55456008280473,107.91321409230798,154,33,95.68483672143903,95.16235858216524,22,165,103.6675119984955,103.49509422674136,141,46,103.6675119984955,103.49509422674136,141,46,98.58033451339048,100.0,79,87,98.85847981525008,100.0,82,86,96.49122807017544,100.0,23,2,103.36027180366803,100.0,58,64,103.36027180366803,100.0,58,64,100.0,100.0,0,0,100.70025584653801,100.27756094521143,105,82
single_563020,187,93.43669299237696,93.84396381985128,3,184,93.6477679427713,94.12911348302518,3,184,99.772206820906,99.53780966800596,67,120,104.30367826357161,104.87819833252748,138,49,93.88529859925748,94.69155638441067,6,181,99.47144883003897,99.69784385460932,84,103,99.47144883003897,99.69784385460932,84,103,100.54519851622678,100.0,75,77,100.56737615954314,100.0,75,77,98.24561403508773,100.0,3,1,116.6638899186069,100.0,68,51,116.6638899186069,100.0,68,51,100.0,100.0,0,0,100.3472092057414,99.89083317467848,93,94
