variant,entry_start,n,total_return_ratio_mean_pct,total_return_ratio_median_pct,annualized_return_ratio_mean_pct,annualized_return_ratio_median_pct,annualized_volatility_ratio_mean_pct,annualized_volatility_ratio_median_pct,max_drawdown_abs_ratio_mean_pct,max_drawdown_abs_ratio_median_pct,sharpe_ratio_ratio_mean_pct,sharpe_ratio_ratio_median_pct,turnover_amount_ratio_ratio_mean_pct,turnover_amount_ratio_ratio_median_pct,annualized_turnover_amount_ratio_mean_pct,annualized_turnover_amount_ratio_median_pct,trade_count_ratio_mean_pct,trade_count_ratio_median_pct,order_count_ratio_mean_pct,order_count_ratio_median_pct,rejected_order_count_ratio_mean_pct,rejected_order_count_ratio_median_pct,skipped_order_count_ratio_mean_pct,skipped_order_count_ratio_median_pct,skipped_below_lot_or_cash_count_ratio_mean_pct,skipped_below_lot_or_cash_count_ratio_median_pct,max_pending_intent_count_ratio_mean_pct,max_pending_intent_count_ratio_median_pct,average_cash_weight_ratio_mean_pct,average_cash_weight_ratio_median_pct
single_515080,2023-12-14,17,98.04435684538554,97.31608826439798,98.24961959970659,97.59905673783017,101.60315406308429,101.09525356574507,105.22125496460173,107.74940917475845,96.67992130555334,97.37068856625727,105.99323504537452,105.0432068228051,105.99323504537453,105.0432068228051,102.27233012556688,100.0,102.48396202072259,101.17647058823529,100.0,100.0,100.91545709192769,100.0,100.91545709192769,100.0,100.0,100.0,101.21533073456247,101.34124938426314
single_515080,2024-02-14,17,96.23167293724428,96.03837997284067,96.54638129332707,96.33006985877634,101.65887941852283,100.27703807811423,107.93115144628808,106.55991769884399,94.98094385294253,95.16235858216523,102.9133272283227,102.95080705875104,102.91332722832271,102.95080705875104,97.53340479449665,100.0,97.75299723105454,100.0,100.0,100.0,94.35107376283847,100.0,94.35107376283847,100.0,100.0,100.0,100.77554049316183,100.88012480032609
single_515080,2024-04-14,17,95.91945688667116,96.96633024094726,96.22483948967908,97.2004003055875,101.22876961023438,101.41916680284697,107.5037621313077,107.91321409230798,95.06894031750744,95.03968496219673,102.20224495265171,103.28907805509533,102.20224495265171,103.28907805509533,95.88766230773709,92.85714285714286,96.21601767071844,92.98245614035088,85.71428571428571,100.0,94.88759606406664,100.0,94.88759606406664,100.0,100.0,100.0,101.28972699318578,101.40026988167452
single_515080,2024-06-14,17,98.44979988028604,98.58523755826629,98.55261306512195,98.68609201953976,102.65749105823025,102.97884191889794,107.75865339015493,106.69797207584169,95.99421492412789,96.1791165860455,104.52619593698034,103.81024473346436,104.52619593698034,103.81024473346436,102.12819500332841,102.56410256410255,102.34399198314836,102.49999999999999,100.0,100.0,108.49206349206348,100.0,108.49206349206348,100.0,100.0,100.0,103.28374277324804,103.4462917938485
single_515080,2024-08-14,17,98.40825635884417,98.16196747081605,98.4841546507379,98.26272944763387,101.77142199449698,101.60769998310538,108.04270457031654,109.6939595907551,96.78857078423341,97.96103234512618,103.87169444932259,102.98470851484028,103.87169444932258,102.98470851484028,96.92458469249453,97.91666666666666,97.16314598141119,97.95918367346938,83.33333333333333,100.0,115.58123249299719,100.0,115.58123249299719,100.0,100.0,100.0,101.30544943800017,100.06999731793258
single_515080,2024-10-14,17,95.10092042008786,94.6119463087441,95.27626807866221,94.82816031975383,102.32075164102235,102.16740490556285,106.41472520495896,106.84298292030338,93.1042736720819,92.90785064599852,104.41920761723998,104.5177875913729,104.41920761723998,104.51778759137291,103.87376073957638,102.56410256410255,104.23713637802751,103.44827586206897,100.0,100.0,135.94516594516594,100.0,135.94516594516594,100.0,100.0,100.0,100.85701499951368,100.16437712431316
single_515080,2024-12-14,17,96.58334788686179,96.90932565629862,96.65452878909487,96.97468320139212,102.99571194481784,102.61971362381577,107.22136912237363,107.38048349067317,93.85598875285906,94.1421769374977,103.24225568041194,103.65336056663301,103.24225568041194,103.65336056663301,95.43278953573358,94.11764705882352,95.79183503715895,94.11764705882352,100.0,100.0,79.16666666666667,87.5,79.16666666666667,87.5,100.0,100.0,101.24582689280062,100.56398928779335
single_515080,2025-02-14,17,97.01452727398335,97.31112143079027,97.05346310783264,97.3558316212305,103.41013976974783,102.6628468714452,109.15785047068309,108.2859056690211,93.84680456624878,93.67524974194642,102.7232112013341,103.58130989870955,102.7232112013341,103.58130989870955,99.4940305158807,102.32558139534885,99.74012991550228,103.48837209302326,100.0,100.0,116.66666666666669,100.0,116.66666666666669,100.0,100.0,100.0,98.76646296278403,99.90695826139894
single_515080,2025-04-14,17,99.4033915259591,98.58322358322495,99.40521058092452,98.59428194330876,102.96591894558836,102.50834294872979,108.83529282152847,108.32556583559094,96.51486693440485,95.10581692227156,99.09210949899546,101.62844530158168,99.09210949899546,101.62844530158168,87.48297751939012,88.46153846153845,88.1481828574853,92.3076923076923,100.0,100.0,75.47619047619048,66.66666666666666,75.47619047619048,66.66666666666666,100.0,100.0,99.35756865608501,99.19521779466753
single_515080,2025-06-14,17,100.28036210486665,100.13412484840647,100.28291797204805,100.13444284786077,103.06511471535278,103.34103766103584,108.2111886421474,108.94987795747848,97.32004398966534,96.7855710625836,103.37493459233997,101.87041109056143,103.37493459233995,101.87041109056145,96.69735698640363,100.0,97.18721711573245,100.0,100.0,100.0,121.42857142857143,100.0,121.42857142857143,100.0,100.0,100.0,100.04397592972164,100.42202621717973
