trade_date,qfq_factor
2017-08-24,0.9779569189944415
2017-08-25,0.9780280335440692
2017-08-28,0.9780653937326839
2017-08-29,0.9780201056398024
2017-08-30,0.978042992881244
2017-08-31,0.9780695613912278
2017-09-01,0.9780405743696554
2017-09-04,0.9780432127195179
2017-09-05,0.9780414538900571
2017-09-06,0.9780416737591493
2017-09-07,0.9780308949930877
2017-09-08,0.9780614439631456
2017-09-11,0.9780695613912278
2017-09-12,0.9780616634321042
2017-09-13,0.9780689034451723
2017-09-14,0.978071973522383
2017-09-15,0.9781126802734668
2017-09-18,0.9781303602058319
2017-09-19,0.9780965032310904
2017-09-20,0.9781192317286106
2017-09-21,0.9781312325488632
2017-09-22,0.9781691122304736
2017-09-25,0.9781890875818032
2017-09-26,0.9781443093482161
2017-09-27,0.978138862582864
2017-09-28,0.9781634603895328
2017-09-29,0.9780721927807218
2017-10-09,0.9780997842933611
2017-10-10,0.9781137724550898
2017-10-11,0.9780686841210473
2017-10-12,0.9780678067806781
2017-10-13,0.9780511239666113
2017-10-16,0.9780482677851072
2017-10-17,0.9779821487736067
2017-10-18,0.9779929754139487
2017-10-19,0.9780339757201811
2017-10-20,0.9780130538093663
2017-10-23,0.9780040120361083
2017-10-24,0.9779969498735802
2017-10-25,0.9779951836243227
2017-10-26,0.9779836960886676
2017-10-27,0.9779819277108434
2017-10-30,0.977937625754527
2017-10-31,0.9779345179401525
2017-11-01,0.977937625754527
2017-11-02,0.9779154078549849
2017-11-03,0.9778931451612903
2017-11-06,0.977896264640071
2017-11-07,0.9778964874262964
2017-11-08,0.9778931451612903
2017-11-09,0.9778703909261539
2017-11-10,0.9777757509424785
2017-11-13,0.9777811550151976
2017-11-14,0.977844008890685
2017-11-15,0.9776880188832818
2017-11-16,0.9776224489795918
2017-11-17,0.9776641577462493
2017-11-20,0.9776709804201074
2017-11-21,0.9776750720241064
2017-11-22,0.9776334040469974
2017-11-23,0.9778216019417476
2017-11-24,0.9776680244399185
2017-11-27,0.9777804796498374
2017-11-28,0.977645259938838
2017-11-29,0.9774970755433333
2017-11-30,0.9775817300811679
2017-12-01,0.9776215355728806
2017-12-04,0.9776208504689111
2017-12-05,0.9776210788415618
2017-12-06,0.9775881451200817
2017-12-07,0.9776229056549867
2017-12-08,0.9775771456616428
2017-12-11,0.9775778334440979
2017-12-12,0.977599591419816
2017-12-13,0.9776107974558189
2017-12-14,0.9776002778260113
2017-12-15,0.977576916391448
2017-12-18,0.977599591419816
2017-12-19,0.9775881451200817
2017-12-20,0.9776566479877737
2017-12-21,0.9776561926885927
2017-12-22,0.9776577861545515
2017-12-25,0.977658924205379
2017-12-26,0.9776793893129772
2017-12-27,0.9776482219481618
2017-12-28,0.977403400309119
2017-12-29,0.9776489053773085
2018-01-02,0.9776680244399185
2018-01-03,0.977658924205379
2018-01-04,0.977659151801632
2018-01-05,0.9776402455188727
2018-01-08,0.977619251729839
2018-01-09,0.9776507276507277
2018-01-10,0.9776233623117424
2018-01-11,0.977563381146283
2018-01-12,0.9775663648918214
2018-01-15,0.9775766871165644
2018-01-16,0.9775902063172524
2018-01-17,0.9775385623860541
2018-01-18,0.9775541954105341
2018-01-19,0.977621763931549
2018-01-22,0.97772609084261
2018-01-23,0.9776793893129772
2018-01-24,0.9776793893129772
2018-01-25,0.9775803549521551
2018-01-26,0.9776286125251207
2018-01-29,0.9776247321701866
2018-01-30,0.977590664309582
2018-01-31,0.9776345445830317
2018-02-01,0.9776146826449993
2018-02-02,0.9776607448455708
2018-02-05,0.9776611999592544
2018-02-06,0.9776226773196192
2018-02-07,0.9776682518507959
2018-02-08,0.9777002704846353
2018-02-09,0.9777134146341462
2018-02-12,0.977679616492453
2018-02-13,0.9776866567631917
2018-02-14,0.9778240689243711
2018-02-22,0.9777586206896552
2018-02-23,0.9777586206896552
2018-02-26,0.9779254114449646
2018-02-27,0.9779597989949749
2018-02-28,0.9779524867544009
2018-03-01,0.9779358499678042
2018-03-02,0.9779136284897072
2018-03-05,0.9778933680104032
2018-03-06,0.9779053951941968
2018-03-07,0.9778931451612903
2018-03-08,0.9778645833333334
2018-03-09,0.9778663706096085
2018-03-12,0.977869050982925
2018-03-13,0.9778596668349319
2018-03-14,0.9778435611954172
2018-03-15,0.9778527353336227
2018-03-16,0.9778551953953347
2018-03-19,0.9778864575980639
2018-03-20,0.9778931451612903
2018-03-21,0.9778895789643491
2018-03-22,0.9779354059764565
2018-03-23,0.9780678067806781
2018-03-26,0.9780040120361083
2018-03-27,0.977973081558859
2018-03-28,0.9779969498735802
2018-03-29,0.9779223001882594
2018-03-30,0.9779741877165671
2018-04-02,0.9780192244083833
2018-04-03,0.9780216476247745
2018-04-04,0.9780434325533897
2018-04-09,0.978119450042903
2018-04-10,0.9781030643727971
2018-04-11,0.9781249064847234
2018-04-12,0.9781347212251734
2018-04-13,0.9781334131020041
2018-04-16,0.9781573705179282
2018-04-17,0.9782222266358157
2018-04-18,0.9782873436896664
2018-04-19,0.9784153543307087
2018-04-20,0.9784198148020586
2018-04-23,0.9784153543307087
2018-04-24,0.9784365781710914
2018-04-25,0.9784153543307087
2018-04-26,0.9784153543307087
2018-04-27,0.9784153543307087
2018-05-02,0.9783066741846456
2018-05-03,0.9783107506675898
2018-05-04,0.9783270412902969
2018-05-07,0.9783306818967817
2018-05-08,0.9782894932235103
2018-05-09,0.9782375707055672
2018-05-10,0.9782007952286282
2018-05-11,0.9782224428997021
2018-05-14,0.9781150829291659
2018-05-15,0.978157588071832
2018-05-16,0.9781791044776119
2018-05-17,0.9782007952286282
2018-05-18,0.9782007952286282
2018-05-21,0.9782224428997021
2018-05-22,0.9782656095143706
2018-05-23,0.9782656095143706
2018-05-24,0.9783178272347073
2018-05-25,0.9783045280517605
2018-05-28,0.9784066404749948
2018-05-29,0.9784225751224984
2018-05-30,0.9784577603143418
2018-05-31,0.978455855625743
2018-06-01,0.9784374262565878
2018-06-04,0.9784242734302749
2018-06-05,0.9783778987221958
2018-06-06,0.9783868487966413
2018-06-07,0.9783443767466203
2018-06-08,0.9783105361540516
2018-06-11,0.9783646731516742
2018-06-12,0.9783608304389012
2018-06-13,0.9783088198929784
2018-06-14,0.9783216852344283
2018-06-15,0.9783430935898323
2018-06-19,0.9783092489837097
2018-06-20,0.9783514313919053
2018-06-21,0.9784153543307087
2018-06-22,0.978455220654694
2018-06-25,0.9785
2018-06-26,0.9784789008832188
2018-06-27,0.9784155667759176
2018-06-28,0.9784789008832188
2018-06-29,0.9785420743639922
2018-07-02,0.9785831477792102
2018-07-03,0.9786664850772402
2018-07-04,0.9786048780487805
2018-07-05,0.9786048780487805
2018-07-06,0.9786048780487805
2018-07-09,0.9785630498533725
2018-07-10,0.9785785453337762
2018-07-11,0.9785330422780623
2018-07-12,0.9785839843749999
2018-07-13,0.9785841935137353
2018-07-16,0.9786548569203816
2018-07-17,0.9786839035769829
2018-07-18,0.9786523635230902
2018-07-19,0.9787085311507879
2018-07-20,0.9787293889427741
2018-07-23,0.9786673151750973
2018-07-24,0.9786286471631551
2018-07-25,0.9786048780487805
2018-07-26,0.9786234391601439
2018-07-27,0.9786359341055442
2018-07-30,0.9786257309941521
2018-07-31,0.9786463354073555
2018-08-01,0.9786461274805741
2018-08-02,0.97875
2018-08-03,0.9787705711519845
2018-08-06,0.9788502155484189
2018-08-07,0.9787623474723997
2018-08-08,0.9786754052450919
2018-08-09,0.9786778932630699
2018-08-10,0.9786890821631602
2018-08-13,0.9785716379554626
2018-08-14,0.9786134326757102
2018-08-15,0.9786849394955531
2018-08-16,0.978626772574436
2018-08-20,0.9784473862664741
2018-08-21,0.9784896666045454
2018-08-22,0.9784450560251622
2018-08-23,0.9785420743639922
2018-08-24,0.9785010538699084
2018-08-27,0.9785477417903294
2018-08-28,0.978545852980884
2018-08-29,0.9785699627686084
2018-08-30,0.9786040430846082
2018-08-31,0.978620938416994
2018-09-03,0.9785818927629651
2018-09-04,0.978580009962786
2018-09-05,0.9785630498533725
2018-09-06,0.9785395545465221
2018-09-07,0.9785330422780623
2018-09-10,0.9785231612966409
2018-09-11,0.9784761549559806
2018-09-12,0.9784516217783062
2018-09-13,0.9784473862664741
2018-09-14,0.9784957834869582
2018-09-17,0.9785212681560416
2018-09-18,0.9785387144758475
2018-09-19,0.9785353535353534
2018-09-20,0.9784936746101794
2018-09-21,0.9784617802178376
2018-09-25,0.9784978919501912
2018-09-26,0.9785063216700971
2018-09-27,0.9785294693557862
2018-09-28,0.9785783360847099
2018-10-08,0.9785854482603729
2018-10-09,0.9786115554168455
2018-10-10,0.9785986142285548
2018-10-11,0.9786338526291176
2018-10-12,0.9786702200089482
2018-10-15,0.9786685602007665
2018-10-16,0.9786756126021003
2018-10-17,0.978691359944032
2018-10-18,0.9786865967558532
2018-10-19,0.9787227849575038
2018-10-22,0.9786983972802331
2018-10-23,0.9786874252893669
2018-10-24,0.978706670550539
2018-10-25,0.9787436148455447
2018-10-26,0.9787464989387785
2018-10-29,0.9787489703958525
2018-10-30,0.9787974591756824
2018-10-31,0.9787915127366976
2018-11-01,0.9788056556909666
2018-11-02,0.9787952040224328
2018-11-05,0.9787691324678341
2018-11-06,0.9788036071563198
2018-11-07,0.9788285722560652
2018-11-08,0.9788931665062559
2018-11-09,0.9788789367234904
2018-11-12,0.9788872736374927
2018-11-13,0.9788880866425993
2018-11-14,0.9789545406562191
2018-11-15,0.9790165628498436
2018-11-16,0.9790560415632044
2018-11-19,0.9790830098337514
2018-11-20,0.9790616406966086
2018-11-21,0.9790630400122204
2018-11-22,0.979049238588379
2018-11-23,0.9790512399220511
2018-11-26,0.979013952420142
2018-11-27,0.9790157597098758
2018-11-28,0.9790233870582046
