trade_date,close
2013-01-04,8568.0
2013-01-07,8686.0
2013-01-08,8670.0
2013-01-09,8574.0
2013-01-10,8566.0
2013-01-11,8442.0
2013-01-14,8526.0
2013-01-15,8376.0
2013-01-16,8392.0
2013-01-17,8410.0
2013-01-18,8560.0
2013-01-21,8504.0
2013-01-22,8440.0
2013-01-23,8456.0
2013-01-24,8488.0
2013-01-25,8542.0
2013-01-28,8626.0
2013-01-29,8644.0
2013-01-30,8676.0
2013-01-31,8656.0
2013-02-01,8706.0
2013-02-04,8848.0
2013-02-05,8790.0
2013-02-06,8802.0
2013-02-07,8886.0
2013-02-08,8910.0
2013-02-18,8846.0
2013-02-19,8818.0
2013-02-20,8774.0
2013-02-21,8542.0
2013-02-22,8560.0
2013-02-25,8550.0
2013-02-26,8354.0
2013-02-27,8360.0
2013-02-28,8430.0
2013-03-01,8240.0
2013-03-04,8066.0
2013-03-05,8126.0
2013-03-06,8196.0
2013-03-07,8124.0
2013-03-08,8130.0
2013-03-11,8136.0
2013-03-12,8030.0
2013-03-13,8076.0
2013-03-14,8054.0
2013-03-15,8244.0
2013-03-18,8092.0
2013-03-19,8114.0
2013-03-20,8084.0
2013-03-21,8194.0
2013-03-22,7944.0
2013-03-25,7958.0
2013-03-26,7874.0
2013-03-27,7776.0
2013-03-28,7806.0
2013-03-29,7768.0
2013-04-01,7656.0
2013-04-02,7846.0
2013-04-03,7904.0
2013-04-08,7940.0
2013-04-09,7954.0
2013-04-10,8084.0
2013-04-11,8022.0
2013-04-12,8050.0
2013-04-15,7770.0
2013-04-16,7706.0
2013-04-17,7692.0
2013-04-18,7528.0
2013-04-19,7738.0
2013-04-22,7686.0
2013-04-23,7614.0
2013-04-24,7718.0
2013-04-25,7808.0
2013-04-26,7764.0
2013-05-02,7702.0
2013-05-03,7776.0
2013-05-06,7858.0
2013-05-07,7738.0
2013-05-08,7866.0
2013-05-09,7838.0
2013-05-10,7870.0
2013-05-13,7834.0
2013-05-14,7834.0
2013-05-15,7750.0
2013-05-16,7742.0
2013-05-17,7824.0
2013-05-20,7780.0
2013-05-21,7918.0
2013-05-22,7884.0
2013-05-23,7788.0
2013-05-24,7860.0
2013-05-27,7850.0
2013-05-28,7868.0
2013-05-29,7854.0
2013-05-30,7846.0
2013-05-31,7872.0
2013-06-03,7958.0
2013-06-04,7930.0
2013-06-05,7992.0
2013-06-06,7948.0
2013-06-07,7984.0
2013-06-13,7920.0
2013-06-14,7968.0
2013-06-17,7988.0
2013-06-18,8000.0
2013-06-19,8004.0
2013-06-20,7942.0
2013-06-21,7910.0
