trade_date,open,high,low,close,volume,amount,adjust_factor,source,updated_at
2017-08-24,100.126,100.126,92.0,99.487,2782.0,27657872.0,1.0,finshare,2026-06-08T23:45:15
2017-08-25,99.487,99.838,99.001,99.809,2889.0,28791174.0,1.0,finshare,2026-06-08T23:45:15
2017-08-28,99.817,99.988,99.79,99.979,2726.0,27231186.0,1.0,finshare,2026-06-08T23:45:15
2017-08-29,99.98,99.98,99.753,99.773,531.0,5299552.0,1.0,finshare,2026-06-08T23:45:15
2017-08-30,99.783,99.9,99.735,99.877,411.0,4099607.0,1.0,finshare,2026-06-08T23:45:15
2017-08-31,98.853,100.0,98.853,99.998,1115.0,11143288.0,1.0,finshare,2026-06-08T23:45:15
2017-09-01,99.815,99.99,99.815,99.866,267.0,2665704.0,1.0,finshare,2026-06-08T23:45:15
2017-09-04,99.867,99.988,99.867,99.878,185.0,1849267.0,1.0,finshare,2026-06-08T23:45:15
2017-09-05,99.277,99.889,99.277,99.87,47.0,465406.0,1.0,finshare,2026-06-08T23:45:15
2017-09-06,99.849,100.0,99.83,99.871,826.0,8255089.0,1.0,finshare,2026-06-08T23:45:15
2017-09-07,99.71,99.999,99.71,99.822,426.0,4258319.0,1.0,finshare,2026-06-08T23:45:15
2017-09-08,99.751,99.99,99.751,99.961,366.0,3658059.0,1.0,finshare,2026-06-08T23:45:15
2017-09-11,99.97,100.01,99.816,99.998,862.0,8620788.0,1.0,finshare,2026-06-08T23:45:15
2017-09-12,99.951,100.03,99.951,99.962,237.0,2366807.0,1.0,finshare,2026-06-08T23:45:15
2017-09-13,99.935,100.038,99.935,99.995,199.0,1989393.0,1.0,finshare,2026-06-08T23:45:15
2017-09-14,99.408,100.069,99.408,100.009,347.0,3473908.0,1.0,finshare,2026-06-08T23:45:15
2017-09-15,99.73,100.198,99.73,100.195,171.0,1711662.0,1.0,finshare,2026-06-08T23:45:15
2017-09-18,100.041,100.298,100.041,100.276,680.0,6819123.0,1.0,finshare,2026-06-08T23:45:15
2017-09-19,100.03,100.276,100.03,100.121,212.0,2125625.0,1.0,finshare,2026-06-08T23:45:15
2017-09-20,100.124,100.32,100.124,100.225,717.0,7190835.0,1.0,finshare,2026-06-08T23:45:15
2017-09-21,100.119,100.35,100.119,100.28,516.0,5169979.0,1.0,finshare,2026-06-08T23:45:15
2017-09-22,100.103,100.51,100.103,100.454,1421.0,14244148.0,1.0,finshare,2026-06-08T23:45:15
2017-09-25,100.126,100.6,100.126,100.546,1109.0,11124494.0,1.0,finshare,2026-06-08T23:45:15
2017-09-26,100.2,100.501,100.2,100.34,2363.0,23728960.0,1.0,finshare,2026-06-08T23:45:15
2017-09-27,100.207,100.413,100.206,100.315,1010.0,10129438.0,1.0,finshare,2026-06-08T23:45:15
2017-09-28,100.318,100.445,100.318,100.428,933.0,9367143.0,1.0,finshare,2026-06-08T23:45:15
2017-09-29,100.2,100.2,99.921,100.01,355.0,3551955.0,1.0,finshare,2026-06-08T23:45:15
2017-10-09,100.2,100.2,100.111,100.136,1020.0,10217320.0,1.0,finshare,2026-06-08T23:45:15
2017-10-10,100.133,100.2,100.133,100.2,598.0,5989936.0,1.0,finshare,2026-06-08T23:45:15
2017-10-11,100.167,100.172,98.001,99.994,357.0,3574362.0,1.0,finshare,2026-06-08T23:45:15
2017-10-12,99.997,100.12,99.007,99.99,757.0,7568549.0,1.0,finshare,2026-06-08T23:45:15
2017-10-13,99.99,100.168,99.664,99.914,933.0,9318381.0,1.0,finshare,2026-06-08T23:45:15
2017-10-16,99.911,99.911,99.502,99.901,1849.0,18469954.0,1.0,finshare,2026-06-08T23:45:15
2017-10-17,99.898,99.898,99.564,99.601,1064.0,10620990.0,1.0,finshare,2026-06-08T23:45:15
2017-10-18,99.604,99.998,99.6,99.65,373.0,3715475.0,1.0,finshare,2026-06-08T23:45:15
2017-10-19,99.653,99.836,99.6,99.836,1156.0,11526268.0,1.0,finshare,2026-06-08T23:45:15
2017-10-20,99.833,99.833,99.522,99.741,834.0,8315980.0,1.0,finshare,2026-06-08T23:45:15
2017-10-23,99.629,99.856,99.629,99.7,1207.0,12037832.0,1.0,finshare,2026-06-08T23:45:15
2017-10-24,99.55,99.68,99.55,99.668,1046.0,10420286.0,1.0,finshare,2026-06-08T23:45:15
2017-10-25,99.551,99.7,99.5,99.66,390.0,3889053.0,1.0,finshare,2026-06-08T23:45:15
2017-10-26,99.5,99.608,99.408,99.608,1303.0,12973871.0,1.0,finshare,2026-06-08T23:45:15
2017-10-27,99.308,99.7,99.308,99.6,1348.0,13427947.0,1.0,finshare,2026-06-08T23:45:15
2017-10-30,99.597,99.6,98.64,99.4,191.0,1896972.0,1.0,finshare,2026-06-08T23:45:15
2017-10-31,99.4,99.65,99.1,99.386,1017.0,10109128.0,1.0,finshare,2026-06-08T23:45:15
2017-11-01,99.389,99.4,99.156,99.4,1071.0,10643246.0,1.0,finshare,2026-06-08T23:45:15
2017-11-02,99.203,99.3,99.203,99.3,1183.0,11748173.0,1.0,finshare,2026-06-08T23:45:15
2017-11-03,99.2,99.298,99.2,99.2,664.0,6588887.0,1.0,finshare,2026-06-08T23:45:15
2017-11-06,99.2,99.215,99.2,99.214,961.0,9538433.0,1.0,finshare,2026-06-08T23:45:15
2017-11-07,99.214,99.215,99.214,99.215,2086.0,20698233.0,1.0,finshare,2026-06-08T23:45:15
2017-11-08,99.1,99.215,99.001,99.2,518.0,5142513.0,1.0,finshare,2026-06-08T23:45:15
2017-11-09,99.01,99.1,98.5,99.098,1077.0,10670536.0,1.0,finshare,2026-06-08T23:45:15
