start_date,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count
2019-01-18,0.828115240064232,0.10229170767281937,0.09084060114270216,-0.12109695466656367,1.1260571416973406,0.36761569384882264,80
2019-03-18,0.83428436719444,0.10544410119059533,0.09189061786073426,-0.12140291639325806,1.1474958341275079,0.3849136521989712,83
2019-05-18,0.7149705718348365,0.09592146921994393,0.09265847786899467,-0.12144833635185637,1.0352152487931288,0.385302766490526,80
2019-07-18,0.6965694187028,0.09677947558043232,0.09306755091966598,-0.12105603278908061,1.03988419834933,0.36471663843119667,69
2019-09-18,0.6823529271925,0.0982321335065175,0.09447136351387868,-0.12155366634959419,1.039808571113577,0.3903883538390509,71
2019-11-18,0.67091898737596,0.09971960811840064,0.0952264933078238,-0.12138985706771421,1.0471834534119895,0.4054502097288642,73
2020-01-18,0.6176957570208841,0.0964053614022955,0.09588612688000613,-0.12133461579856941,1.0054151162340632,0.4062032862714561,71
2020-03-18,0.626295731838028,0.10039205737178714,0.09454174262662007,-0.12106034856544745,1.0618807585160779,0.38916291818595394,62
2020-05-18,0.5764319593254359,0.09675094643263349,0.0962456228862146,-0.12149765333088736,1.005250353535727,0.4107107070865901,66
2020-07-18,0.4653627192404839,0.08362132643156484,0.09259043905005247,-0.12146795959172596,0.9031313307236926,0.4310489438429358,68
2020-09-18,0.4544376543062365,0.08516834042702692,0.09354611052134788,-0.12141826238564901,0.9104423471202568,0.41694062403881726,56
2020-11-18,0.46471141239515235,0.08983545050713415,0.09389373846890456,-0.12151533917937551,0.9567778637005233,0.4292348502790367,59
2021-01-18,0.47975474734714796,0.09612116620703426,0.09404619938360477,-0.12132111430316472,1.0220632714243552,0.4065304677048736,48
2021-03-18,0.44753584987849604,0.09394809300824747,0.09514526456018296,-0.12044333239919913,0.9874174341994894,0.4178057229824052,50
2021-05-18,0.4279634321496639,0.09402622694250384,0.09781798932070508,-0.12248696275622539,0.961236553679614,0.4566571867812182,51
2021-07-18,0.40939070870470395,0.094673056245131,0.09789953374306126,-0.12482080462253864,0.9670429738062063,0.4330060436362166,44
2021-09-18,0.4049157489064079,0.09860833036903771,0.06529862688816768,-0.0451939370758766,1.5101133832096838,0.4576365505362113,44
2021-11-18,0.39700600954075194,0.10107550947650945,0.06650515677292795,-0.046710705448802736,1.5198146186109578,0.4327499080495731,35
2022-01-18,0.3809845497539801,0.102579879915075,0.06803569176549877,-0.04776215000714734,1.5077362668500676,0.48611208291048597,46
2022-03-18,0.41046242194820803,0.1151795163736391,0.06448911960337537,-0.04451511733407065,1.7860302184620083,0.49149146149072903,41
2022-05-18,0.3803401076852879,0.11326971541755992,0.06597554854384846,-0.04711709577107781,1.7168438598472426,0.5220654390753291,40
