start_date,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,annualized_turnover,trade_count
2019-01-18,0.6845114263438481,0.08782946723732166,0.1010717605855507,-0.15048490482665045,0.8689812735870935,0.17713699111908981,40
2019-03-18,0.6948576799107642,0.09109691569586564,0.10210540031188406,-0.15029753083836261,0.8921850893058284,0.18917889990635375,38
2019-05-18,0.598007515973028,0.08285420636734808,0.10305219717102956,-0.15028095082491244,0.8040023273821122,0.17059175302831803,36
2019-07-18,0.5674151412712001,0.08170747745453788,0.10451740437472107,-0.15025718646918562,0.781759535106671,0.17858813158704454,40
2019-09-18,0.5655666810301561,0.08409147604690026,0.10625216273694431,-0.15035171256881963,0.7914330765679681,0.17636682099832665,36
2019-11-18,0.5345472183712481,0.08251949708981599,0.10722084128554375,-0.1503419265185758,0.769621802071626,0.17435846468817234,30
2020-01-18,0.505913844960616,0.08148619683579827,0.10812643039071593,-0.1503227478567737,0.7536195964423046,0.1932078654981881,37
2020-03-18,0.506384916358368,0.08393638597961162,0.1086928190011816,-0.15053869935126052,0.7722348794606122,0.22888995756016559,50
2020-05-18,0.4741484845411563,0.08192404145800825,0.11036058090491707,-0.1501502079819892,0.7423306472860198,0.21863634170973265,35
2020-07-18,0.390371667274392,0.07172302129891905,0.10920472760092709,-0.15035114158850882,0.656775790522737,0.21761454073083433,37
2020-09-18,0.38179432842542416,0.073104948634926,0.10988120221433417,-0.1504739646717126,0.6653089624222308,0.2045706840334414,35
2020-11-18,0.39152673335507204,0.07731660967078624,0.11123278418213314,-0.1502148137571675,0.6950883252565864,0.21212390170322942,30
2021-01-18,0.40768879316791984,0.08337888904805024,0.11249942801703373,-0.15019667706379425,0.7411494486480917,0.21424955455870398,30
2021-03-18,0.3764053310572919,0.08064757693670277,0.13539986369693274,-0.17751628434078837,0.5956252446251887,0.22407989794774472,28
2021-05-18,0.360183228669684,0.08068780070389092,0.11153606618989591,-0.1433645638612504,0.7234234042871458,0.2015021465891052,26
2021-07-18,0.3512465052892959,0.08258353462332324,0.10384805587828623,-0.12591161520582994,0.7952342865244796,0.24898778265817725,35
2021-09-18,0.34712727004102417,0.08591766526600919,0.05655633067895128,-0.04041452508556487,1.5191520424783391,0.2677189281698541,34
2021-11-18,0.3263407899717681,0.08473755511773629,0.05646314675772143,-0.03771631226427452,1.50075863609476,0.24271001545628165,28
2022-01-18,0.3136154358564638,0.0860232736523463,0.056916000600238006,-0.03638751414604002,1.5114075610573834,0.2823662107001111,34
2022-03-18,0.3464636790439919,0.09888504784349972,0.053946852472019254,-0.03180722592201479,1.833008661530136,0.29731526485944343,34
2022-05-18,0.3070420282345758,0.09323109995805123,0.05496140473499003,-0.036875035080540575,1.6963012573566483,0.29671309110938326,30
