date,asset,side,price,trade_value,trade_volume,fee,weight_before,weight_after
2020-03-09,518880,BUY,3.659,0.14973977521941778,0.04092368822613222,2.9947955043883556e-05,0.0,0.14973977521941778
2020-03-09,510300,BUY,4.379,0.08321234637716161,0.019002591088641614,1.6642469275432323e-05,0.0,0.08321234637716161
2020-03-09,159985,BUY,0.948,0.1372313416918441,0.14475879925300011,2.744626833836882e-05,0.0,0.1372313416918441
2020-03-09,159981,BUY,0.871,0.07486341480941561,0.0859511077031178,1.4972682961883123e-05,0.0,0.07486341480941561
2020-03-09,511260,BUY,113.948,0.5549531219021608,0.004870231350283997,0.00011099062438043217,0.0,0.5549531219021608
2020-09-30,518880,SELL,3.974,0.039723846901711615,0.009995935304909817,7.944769380342324e-06,0.15811701061343125,0.11920290500718088
2020-09-30,510300,BUY,5.035,0.009743861559723344,0.0019352257318219152,1.9487723119446687e-06,0.09098705060310507,0.10053229073772606
2020-09-30,159985,SELL,1.078,0.00043854646271659914,0.00040681490047921997,8.770929254331983e-08,0.15030171030149328,0.14987210328468983
2020-09-30,159981,BUY,0.856,0.06592330350491539,0.07701320502910676,1.3184660700983078e-05,0.06844519233838012,0.13302469796507804
2020-09-30,511260,SELL,110.188,0.0355047717002106,0.00032221994863515627,7.100954340042121e-06,0.5321490361435903,0.4973680030053251
2020-12-31,518880,SELL,3.85,0.013823722146243111,0.0035905771808423664,2.7647444292486225e-06,0.10922554626915505,0.09641705000330744
2020-12-31,510300,SELL,5.675999999999999,0.016376987099738102,0.0028853042811377914,3.2753974199476207e-06,0.10718968871690018,0.09201544144154983
2020-12-31,159985,SELL,1.271,0.08155048964838016,0.0641624623512039,1.631009792967603e-05,0.1671291141153626,0.09156776160198067
2020-12-31,159981,SELL,0.996,0.011266543525808637,0.011311790688562888,2.2533087051617276e-06,0.14639369566245347,0.1359545766500283
2020-12-31,511260,BUY,110.105,0.12301774242017016,0.0011172766215900292,2.4603548484034034e-05,0.47006195523612854,0.5840451703031337
2021-03-31,518880,BUY,3.495,0.01917350167578878,0.005485980450869466,3.8347003351577564e-06,0.08730929850876694,0.10503137455638185
2021-03-31,510300,SELL,5.511,0.015361140417115504,0.0027873599014907463,3.072228083423101e-06,0.08911872138932052,0.07492041253299041
2021-03-31,159985,SELL,1.208,0.025970393868677583,0.021498670421090715,5.194078773735517e-06,0.08681288524260328,0.0628084387460933
2021-03-31,159981,SELL,1.1,0.07195377108714385,0.06541251917013076,1.439075421742877e-05,0.14977777934692407,0.08327087702509875
2021-03-31,511260,BUY,110.934,0.09411180369714811,0.0008483585167500325,1.8822360739429624e-05,0.5869813155123852,0.6739688971394356
2021-09-30,518880,BUY,3.543,0.03552487465614204,0.01002677805705392,7.104974931228409e-06,0.09862345447162445,0.1290393840261156
2021-09-30,510300,BUY,5.396,0.027797255114992536,0.0051514557292425016,5.559451022998507e-06,0.06794834434960813,0.09174798788303444
2021-09-30,159985,BUY,1.261,0.01758061781740841,0.013941806357976537,3.5161235634816824e-06,0.06073000815064426,0.07578230145877207
2021-09-30,159981,SELL,1.796,0.08828513646333622,0.049156534779140434,1.7657027292667245e-05,0.1259342833075139,0.05034571283768952
2021-09-30,511260,BUY,114.93,0.007382388874793144,6.423378469323191e-05,1.476477774958629e-06,0.6467639097206093,0.6530846137943883
2022-06-30,518880,SELL,3.818,0.026585769408375287,0.006963271191297875,5.317153881675058e-06,0.13482460671354313,0.11275406395881094
2022-06-30,510300,SELL,5.044,0.007845655563624765,0.001555443212455346,1.569131112724953e-06,0.08315374140781227,0.07664056234964542
2022-06-30,159985,SELL,1.542,0.044857226044309,0.02909028926349481,8.9714452088618e-06,0.08985022865186355,0.05261138443930066
2022-06-30,159981,BUY,1.635,0.002828744519207081,0.0017301189719920987,5.657489038414163e-07,0.04443815588987602,0.04678647712498409
2022-06-30,511260,BUY,117.565,0.0764599064971021,0.0006503628333015957,1.529198129942042e-05,0.6477332673369051,0.711207512127259
2022-12-30,518880,BUY,3.986,0.06015853722150094,0.01509245790805342,1.2031707444300188e-05,0.1154702711997219,0.16446045780732793
2022-12-30,510300,BUY,4.474,0.03690388452283233,0.008248521350655416,7.380776904566467e-06,0.06668316368668926,0.09673589224061656
2022-12-30,159985,BUY,2.01,0.004735418898244123,0.0023559298001214544,9.470837796488246e-07,0.06727102196314014,0.07112731678354095
2022-12-30,159981,BUY,1.512,0.020376741054605955,0.013476680591670606,4.0753482109211915e-06,0.042441526039572054,0.05903535283167746
2022-12-30,511260,SELL,119.333,0.12217458169718332,0.0010238122036417697,2.4434916339436666e-05,0.7081340171108766,0.6086409803368371
2023-06-30,518880,SELL,4.349,0.10243556972248526,0.02355382150436543,2.0487113944497052e-05,0.17519759214043434,0.09374696693858973
2023-06-30,510300,SELL,4.482,0.006857266910414481,0.0015299569188787327,1.3714533820828962e-06,0.09461893142492318,0.08916644379252824
2023-06-30,159985,SELL,1.901,0.0101555264357195,0.005342202228153341,2.0311052871439e-06,0.06568058465094981,0.05760551873698883
2023-06-30,159981,BUY,1.46,0.0006283220458907085,0.0004303575656785675,1.256644091781417e-07,0.055658020026011015,0.05615762405617893
2023-06-30,511260,BUY,122.262,0.11882004102272847,0.000971847679759275,2.3764008204545697e-05,0.6088448717576818,0.7033234464757143
2024-03-29,518880,BUY,5.126,0.014948383823486261,0.0029161888067667304,2.9896767646972525e-06,0.10520050752158266,0.11651736353911572
2024-03-29,510300,BUY,4.195,0.020986575674882768,0.005002759398065022,4.197315134976554e-06,0.07945714830637626,0.09534529099913727
2024-03-29,159985,BUY,2.137,0.0043373228602932995,0.002029631661344548,8.6746457205866e-07,0.061653525024709166,0.06493714811675032
2024-03-29,159981,BUY,1.6,0.029611432707037172,0.018507145441898232,5.922286541407435e-06,0.05859320676195917,0.08101090250588976
2024-03-29,511260,SELL,126.914,0.06988371506569957,0.000550638346169056,1.3976743013139914e-05,0.6950956123853728,0.6421892948391069
2024-09-30,518880,SELL,5.707,0.01744965599137782,0.003057588223476051,3.4899311982755645e-06,0.1254927769115894,0.11271290738647555
2024-09-30,510300,SELL,4.901999999999999,0.01933699977504505,0.00394471639637802,3.86739995500901e-06,0.1077803029363462,0.09361817078575597
2024-09-30,159985,BUY,1.998,0.05605832576133596,0.02805722010076875,1.1211665152267192e-05,0.058733107959909436,0.09978939522311947
2024-09-30,159981,BUY,1.486,0.05043570930834765,0.03394058499888805,1.008714186166953e-05,0.0727848693616361,0.10972323563577595
2024-09-30,511260,SELL,129.767,0.06970737930326076,0.000537173390024126,1.3941475860652153e-05,0.6352089428305189,0.584156290968873
2025-06-30,518880,SELL,7.314,0.07166772611315103,0.009798704691434377,1.4333545222630207e-05,0.13823431174408693,0.0880033094869134
2025-06-30,510300,BUY,4.739,0.05367533292181495,0.011326299413761332,1.073506658436299e-05,0.08661012624732127,0.12423048781555973
2025-06-30,159985,BUY,1.925,0.002699629008394211,0.0014024046796853045,5.399258016788422e-07,0.09200570537224866,0.09389784117965634
2025-06-30,159981,SELL,1.338,0.027162817283386556,0.020301059255146903,5.432563456677311e-06,0.09454335913796186,0.07550528425724352
2025-06-30,511260,BUY,136.636,0.04245558146632866,0.00031072031870318706,8.491116293265733e-06,0.5886064974983812,0.6183630772606271
2025-09-30,518880,SELL,8.339,0.051075798797763,0.006124930902717712,1.02151597595526e-05,0.09787617105223184,0.06295455219399781
2025-09-30,510300,SELL,5.498000000000001,0.047167973816624714,0.008579114917538141,9.433594763324943e-06,0.1405934752387001,0.10834372011570294
