YearMonth,能源化工ETF (159981),豆粕ETF (159985),沪深300ETF (510300),红利低波ETF (512890),黄金ETF (518880),中债30年国债指数 (CBA21801),组合月度总收益率
2020-07,-0.00010231743453056069,0.0008597044787325739,-0.0006284729258316568,-0.0006889908422038524,0.003628070381876571,-0.00429908636347302,-0.0015233618197487697
2020-08,0.003918694626299249,0.002661798901449631,0.0018764662478024038,0.0032027808826217666,-0.0014102273439699632,-0.00010239219745663284,0.010839381435828965
2020-09,-0.0033942443015388896,0.006251484465228733,-0.003406313990186312,-0.005981963067668368,-0.002069256952791015,-0.007215442300433091,-0.015832061627068073
2020-10,0.0007261556273127109,0.008031912904257362,0.0018130528957782297,0.0007415365407022765,-0.0010647125860296575,0.00018711890684981226,0.01009719508910445
2020-11,0.010172264490757367,0.006474930398563319,0.004503534290004211,0.012939419899947732,-0.0036382359770441653,0.001101624589762197,0.03183901008419343
2020-12,0.010578423251104883,0.008763267591048812,0.003908335416491345,-0.009870864358358182,0.002997191113997684,0.010415896484232962,0.02700659320009091
2021-01,-0.0018781824720370474,0.0005388838365222173,0.0009365146570605167,-0.004136149243102779,-0.0009260106294981408,0.0015733256695309012,-0.0029923533683104964
2021-02,0.014541952819482151,-0.0014660100287926777,0.00016120901760022775,0.005517542748436231,-0.0021570153014630646,-0.004300647481928537,0.011273792666675275
2021-03,0.0025120134674640098,-0.0020658774606224007,-0.0028249299997374273,0.0028061198677038503,-0.0027127021440330745,0.012059459759388338,0.01013127362132793
2021-04,0.004043620632643274,0.00290616404120608,0.0007751247074339303,0.001014740178439766,0.002851223883661962,0.007235086787589274,0.018452473840497863
2021-05,0.000997513745533123,0.0003176308941725451,0.0020575421176670275,0.005470854836609774,0.003655425131601174,0.009628195182810178,0.02201666446249373
2021-06,0.0012152517921528532,-0.0002911695776817575,-0.000801125767669574,-0.002068812294806254,-0.004371173279634222,-0.005200119198314413,-0.011510521143020314
2021-07,0.005200516845816301,0.0016109382186686079,-0.0037146156766288884,-0.004190155761296652,0.0024281924110895314,0.025175299780750456,0.026758786503862764
2021-08,-0.001179355715384006,-0.0008660954412507702,7.811102180145302e-05,0.009482841469433574,-0.0005222136123599286,0.00621969678185126,0.013249667022437794
2021-09,0.014781517691548602,-0.0006453045548710564,0.0005406172429352218,0.004433346682949929,-0.0034996724259574517,0.0003226943892548764,0.0156406496891508
2021-10,-0.005493605469881486,-0.0034780293735502178,0.00028122538431925667,-0.03956135713860996,0.0015768802912278028,-0.004664914600314714,-0.01608401136204496
2021-11,-0.003868043679257151,-0.0004691594345911531,-0.0010791713598553442,-0.0005722076719496165,-8.145505355436006e-05,0.011772914191177422,0.005230442006493252
2021-12,0.0009820851087040017,0.003750834009776096,0.0015098903825622634,0.00386983752356642,0.0008954070774522066,0.005588883996867129,0.016690408572372917
2022-01,0.0042553620337046775,0.006529374049925088,-0.006840945206324755,-0.00027889323422057805,-0.0015600298782265417,0.007642477835425337,0.010670133666212278
2022-02,-0.00018413743894866048,0.01634338879717112,0.0002711314370907371,0.0021566176946319986,0.007495287597749943,-0.006101396902355591,0.01918660828225427
2022-03,0.001749358982204686,0.006667539585171397,-0.00542661527042062,0.0019345406659099153,0.001802161948962932,0.0008412317560836139,0.007258938897874101
2022-04,-0.0009168584393802687,-0.0007490142796176976,-0.004515604447681374,-0.0014574301353398385,0.0028595101955287373,0.006778303654189376,0.003410682735171422
2022-05,0.0016176977880124066,0.002442890392897868,0.0011202930913119576,0.0007838560626755579,-0.0015268487910351238,0.006499588176838713,0.010684838833266763
2022-06,-0.002136529580870832,-0.0037766930179234594,0.0067460430284807405,0.0002887123239749148,-0.0013742278243035959,-0.0016763817392606017,-0.0021979607347382135
2022-07,-0.0021589200800682527,0.0008342771994450465,-0.004662800870456409,-0.0021782346279813768,-0.001617483613483385,0.008680017980702628,-0.00115205679455066
2022-08,-0.0009118986885212776,0.001812646331396575,-0.001235407840191293,0.0020711474323230946,0.00021798749835892585,0.019326721422174314,0.021460326943048225
2022-09,0.0007552812916020657,0.0036041094948295427,-0.0029689202328223746,-0.0003183189304284779,0.0001587539960862185,-0.006383778991639252,-0.0053673901627994125
2022-10,-0.002739968978734116,0.0002527672450645753,-0.0031091475993649835,-0.002684170722673281,0.00033439957604624703,0.0125560322517769,0.004241005147200827
2022-11,0.0009248352369699206,0.0022933338863636117,0.0051990539383778445,0.003924137684190246,0.0034498457271979425,-0.02186866099105693,-0.005334212484221723
2022-12,0.002827859181383621,0.0059351630709484635,0.00036850961441275986,-0.0029764096738733197,0.0012981562770436042,0.00929505383911831,0.016209030100162947
2023-01,0.0015077480267928047,-0.0007276081687243972,0.005516169400247348,0.001738424848620787,0.0027193955337461904,-0.00328972844210565,0.009073673443571906
2023-02,-0.0017390614478884343,-0.002550058630456954,-0.0021680165381401735,0.0020845447446680484,-0.0027552497627368402,0.00011705091490218634,-0.007057185227289042
2023-03,0.00261048743607311,-0.0054461749266854305,-0.0005333437359831552,0.0008095046780668949,0.01215663314379314,0.007442351014175228,0.01713246987903405
