YearMonth,沪深300ETF (510300),黄金ETF (518880),中债30年国债指数 (CBA21801),组合月度总收益率
2014-01,-0.004024938772129638,8.25484090954075e-05,0.00035807572893771034,-0.0023472112465764416
2014-02,-0.001493342357014817,0.013313734581840242,0.008731797003867954,0.020690124091961692
2014-03,-0.002297174458123418,-0.003926483114512401,-0.002871643781703337,-0.009209105413852448
2014-04,0.0007861108388481203,0.0032537305983302667,0.021330021363425693,0.025532968424966107
2014-05,0.0003558715157188715,-0.00613539694841867,0.031735419779501,0.026129854359699944
2014-06,0.0013381870486421305,0.008363535837954404,0.0021061352918346574,0.011745229658348677
2014-07,0.012815503668291539,-0.004533723914512036,-0.015973905850489852,-0.007772130569869029
2014-08,-0.0008655501567363124,-0.001979430671542262,0.0033804018690815237,0.0005012465571114788
2014-09,0.006262666208137827,-0.010911848379663547,0.019915751638737905,0.015305216137444289
2014-10,0.003902901187257392,-0.008214756006068098,0.029921550684250293,0.025790748232668248
2014-11,0.023452882716809304,0.0010591350713476536,0.02141174802488954,0.046291543845638605
2014-12,0.05530743857102465,0.0070516332159909914,-0.0059966284445183106,0.05723136516171223
2015-01,-0.0020036356303102625,0.016209176831598483,0.01342220399851693,0.025940403836508086
2015-02,0.0034850525661596797,-0.008712048132086874,0.01192098396464868,0.006567226674420112
2015-03,0.01450983657362951,-0.01173577624240913,-0.030626171095292847,-0.0276406455808077
2015-04,0.021442430381298932,0.005096337970428483,0.012911610611439162,0.03995356012493878
2015-05,0.0022637801628575364,-0.0031477096403637207,0.010569927874490419,0.009098997322016356
2015-06,-0.002634254897680725,-0.004614954299012448,0.0007854499618510679,-0.008497710772565004
2015-07,-0.007776978904056906,-0.02372641592913171,0.015126802796516176,-0.016098853018171932
2015-08,-0.004888349120138471,0.02312339924729888,0.01542392254181681,0.03408969195492384
2015-09,-0.0018697182588989618,-0.003260540786389091,-0.005770146101761039,-0.01095304411422482
2015-10,0.003154591761431496,0.0047952013188672865,0.014643397983521229,0.022129515890654927
2015-11,0.00017235627606571505,-0.016065397565116008,-0.0037318813769335463,-0.019624798990438452
2015-12,0.0013169997773949818,0.004735670240953539,0.02793718809870012,0.03449878505606985
2016-01,-0.006266749035119396,0.012174175157015901,0.011263603940664361,0.017498672488984512
2016-02,-0.0007306650066497928,0.025026512600533634,0.005404619078477411,0.029922044502516565
2016-03,0.006872901620288554,-0.0036452216478938,0.02297780335515378,0.026390463662334662
2016-04,-0.0011535534878859928,0.011627633986972804,-0.013909981998741373,-0.003593459533373311
2016-05,0.0003811516332223471,-0.008732493855436178,-0.006491502988638221,-0.014802727534222737
2016-06,-0.00019195562986750592,0.02506546384313363,0.005227632031651313,0.030434186056493617
2016-07,0.0024993041467669466,0.00419347338664669,0.025268101799017912,0.03149659570275154
2016-08,0.0034551828805607226,-0.002338549288053061,0.008955796952311619,0.009989439211185003
2016-09,-0.0023443112326450403,0.0010523470411965856,0.01390604629447826,0.011793862313124626
2016-10,0.0034026946926038757,-0.0030464673811527454,0.008754677683645334,0.009118814626674299
2016-11,0.009317290373819608,-0.007503908066801823,-0.019226219920064982,-0.017445773457027025
