Strategy,End_NAV,Total_Return_Pct,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
Baseline ES (基线固定预算),1.8020482788388716,80.20482788388716,10.256756817445712,5.202442090183871,1.6832012092875062,-3.445949809921689
Macro Factor ES (宏观因子平价),1.5431846728041088,54.31846728041088,7.4580746881751425,7.26644962021139,0.8199430257663872,-7.686608764974756
Black-Litterman ES (BL观点倾斜),1.1740540150097603,17.405401500976026,2.696123213778101,9.887304919543743,0.12097565752359714,-17.822225917247664
30Y Treasury Index (纯30年国债),1.538897663255789,53.88976632557889,7.40852338029081,4.8878189036611435,1.208826164951636,-8.508681845118778
