trade_date,unit_nav,cum_nav,source,updated_at
2012-08-09,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2012-08-10,1.0001,1.0001,eastmoney_f10,2026-07-29T23:50:46
2012-08-17,1.0004,1.0004,eastmoney_f10,2026-07-29T23:50:46
2012-08-24,1.0008,1.0008,eastmoney_f10,2026-07-29T23:50:46
2012-08-31,1.0013,1.0013,eastmoney_f10,2026-07-29T23:50:46
2012-09-07,1.0017,1.0017,eastmoney_f10,2026-07-29T23:50:46
2012-09-14,1.002,1.002,eastmoney_f10,2026-07-29T23:50:46
2012-09-21,1.0026,1.0026,eastmoney_f10,2026-07-29T23:50:46
2012-09-28,1.0031,1.0031,eastmoney_f10,2026-07-29T23:50:46
2012-10-12,1.006,1.006,eastmoney_f10,2026-07-29T23:50:46
2012-10-15,1.0049,1.0049,eastmoney_f10,2026-07-29T23:50:46
2012-10-19,1.0062,1.0062,eastmoney_f10,2026-07-29T23:50:46
2012-10-22,1.0096,1.0096,eastmoney_f10,2026-07-29T23:50:46
2012-10-23,1.0111,1.0111,eastmoney_f10,2026-07-29T23:50:46
2012-10-24,1.0132,1.0132,eastmoney_f10,2026-07-29T23:50:46
2012-10-25,1.0156,1.0156,eastmoney_f10,2026-07-29T23:50:46
2012-10-26,1.0081,1.0081,eastmoney_f10,2026-07-29T23:50:46
2012-10-29,1.0058,1.0058,eastmoney_f10,2026-07-29T23:50:46
2012-10-30,1.0059,1.0059,eastmoney_f10,2026-07-29T23:50:46
2012-10-31,1.0066,1.0066,eastmoney_f10,2026-07-29T23:50:46
2012-11-01,1.0131,1.0131,eastmoney_f10,2026-07-29T23:50:46
2012-11-02,1.0206,1.0206,eastmoney_f10,2026-07-29T23:50:46
2012-11-05,1.0172,1.0172,eastmoney_f10,2026-07-29T23:50:46
2012-11-06,1.013,1.013,eastmoney_f10,2026-07-29T23:50:46
2012-11-07,1.0176,1.0176,eastmoney_f10,2026-07-29T23:50:46
2012-11-08,0.9953,0.9953,eastmoney_f10,2026-07-29T23:50:46
2012-11-12,0.986,0.986,eastmoney_f10,2026-07-29T23:50:46
2012-11-13,0.9758,0.9758,eastmoney_f10,2026-07-29T23:50:46
2012-11-14,0.9852,0.9852,eastmoney_f10,2026-07-29T23:50:46
2012-11-15,0.9736,0.9736,eastmoney_f10,2026-07-29T23:50:46
2012-11-16,0.9742,0.9742,eastmoney_f10,2026-07-29T23:50:46
2012-11-19,0.9793,0.9793,eastmoney_f10,2026-07-29T23:50:46
2012-11-20,0.9785,0.9785,eastmoney_f10,2026-07-29T23:50:46
2012-11-21,0.9897,0.9897,eastmoney_f10,2026-07-29T23:50:46
2012-11-22,0.9983,0.9983,eastmoney_f10,2026-07-29T23:50:46
2012-11-23,1.0055,1.0055,eastmoney_f10,2026-07-29T23:50:46
2012-11-26,1.0052,1.0052,eastmoney_f10,2026-07-29T23:50:46
2012-11-27,1.0027,1.0027,eastmoney_f10,2026-07-29T23:50:46
2012-11-28,0.9971,0.9971,eastmoney_f10,2026-07-29T23:50:46
2012-11-29,1.0061,1.0061,eastmoney_f10,2026-07-29T23:50:46
2012-11-30,1.0085,1.0085,eastmoney_f10,2026-07-29T23:50:46
2012-12-03,0.9975,0.9975,eastmoney_f10,2026-07-29T23:50:46
2012-12-04,0.9894,0.9894,eastmoney_f10,2026-07-29T23:50:46
2012-12-05,1.0191,1.0191,eastmoney_f10,2026-07-29T23:50:46
2012-12-06,1.0176,1.0176,eastmoney_f10,2026-07-29T23:50:46
2012-12-07,1.0168,1.0168,eastmoney_f10,2026-07-29T23:50:46
2012-12-10,1.0187,1.0187,eastmoney_f10,2026-07-29T23:50:46
2012-12-11,1.0204,1.0204,eastmoney_f10,2026-07-29T23:50:46
2012-12-12,1.0279,1.0279,eastmoney_f10,2026-07-29T23:50:46
2012-12-13,1.0255,1.0255,eastmoney_f10,2026-07-29T23:50:46
2012-12-14,1.0329,1.0329,eastmoney_f10,2026-07-29T23:50:46
2012-12-17,1.0277,1.0277,eastmoney_f10,2026-07-29T23:50:46
2012-12-18,1.0276,1.0276,eastmoney_f10,2026-07-29T23:50:46
2012-12-19,1.0326,1.0326,eastmoney_f10,2026-07-29T23:50:46
2012-12-20,1.034,1.034,eastmoney_f10,2026-07-29T23:50:46
2012-12-21,1.0273,1.0273,eastmoney_f10,2026-07-29T23:50:46
2012-12-24,1.0303,1.0303,eastmoney_f10,2026-07-29T23:50:46
2012-12-25,1.0305,1.0305,eastmoney_f10,2026-07-29T23:50:46
2012-12-26,1.0306,1.0306,eastmoney_f10,2026-07-29T23:50:46
2012-12-27,1.0349,1.0349,eastmoney_f10,2026-07-29T23:50:46
2012-12-28,1.035,1.035,eastmoney_f10,2026-07-29T23:50:46
2012-12-31,1.0337,1.0337,eastmoney_f10,2026-07-29T23:50:46
2013-01-04,1.0628,1.0628,eastmoney_f10,2026-07-29T23:50:46
2013-01-07,1.0635,1.0635,eastmoney_f10,2026-07-29T23:50:46
2013-01-08,1.0538,1.0538,eastmoney_f10,2026-07-29T23:50:46
2013-01-09,1.0581,1.0581,eastmoney_f10,2026-07-29T23:50:46
2013-01-10,1.0629,1.0629,eastmoney_f10,2026-07-29T23:50:46
2013-01-11,1.0588,1.0588,eastmoney_f10,2026-07-29T23:50:46
2013-01-14,1.0635,1.0635,eastmoney_f10,2026-07-29T23:50:46
2013-01-15,1.0628,1.0628,eastmoney_f10,2026-07-29T23:50:46
2013-01-16,1.0628,1.0628,eastmoney_f10,2026-07-29T23:50:46
2013-01-17,1.0623,1.0623,eastmoney_f10,2026-07-29T23:50:46
2013-01-18,1.0728,1.0728,eastmoney_f10,2026-07-29T23:50:46
2013-01-21,1.0732,1.0732,eastmoney_f10,2026-07-29T23:50:46
2013-01-22,1.0761,1.0761,eastmoney_f10,2026-07-29T23:50:46
2013-01-23,1.0743,1.0743,eastmoney_f10,2026-07-29T23:50:46
2013-01-24,1.0729,1.0729,eastmoney_f10,2026-07-29T23:50:46
2013-01-25,1.0728,1.0728,eastmoney_f10,2026-07-29T23:50:46
2013-01-28,1.0768,1.0768,eastmoney_f10,2026-07-29T23:50:46
2013-01-29,1.0763,1.0763,eastmoney_f10,2026-07-29T23:50:46
2013-01-30,1.0821,1.0821,eastmoney_f10,2026-07-29T23:50:46
2013-01-31,1.0784,1.0784,eastmoney_f10,2026-07-29T23:50:46
2013-02-01,1.0786,1.0786,eastmoney_f10,2026-07-29T23:50:46
2013-02-04,1.0772,1.0772,eastmoney_f10,2026-07-29T23:50:46
2013-02-05,1.0538,1.0538,eastmoney_f10,2026-07-29T23:50:46
2013-02-06,1.0595,1.0595,eastmoney_f10,2026-07-29T23:50:46
2013-02-07,1.0558,1.0558,eastmoney_f10,2026-07-29T23:50:46
2013-02-08,1.0555,1.0555,eastmoney_f10,2026-07-29T23:50:46
2013-02-18,1.0631,1.0631,eastmoney_f10,2026-07-29T23:50:46
2013-02-19,1.053,1.053,eastmoney_f10,2026-07-29T23:50:46
2013-02-20,1.0596,1.0596,eastmoney_f10,2026-07-29T23:50:46
2013-02-21,1.0428,1.0428,eastmoney_f10,2026-07-29T23:50:46
2013-02-22,1.0375,1.0375,eastmoney_f10,2026-07-29T23:50:46
2013-02-25,1.0393,1.0393,eastmoney_f10,2026-07-29T23:50:46
2013-02-26,1.0256,1.0256,eastmoney_f10,2026-07-29T23:50:46
2013-02-27,1.0276,1.0276,eastmoney_f10,2026-07-29T23:50:46
2013-02-28,1.0464,1.0464,eastmoney_f10,2026-07-29T23:50:46
2013-03-01,1.0412,1.0412,eastmoney_f10,2026-07-29T23:50:46
2013-03-04,1.0262,1.0262,eastmoney_f10,2026-07-29T23:50:46
2013-03-05,1.0265,1.0265,eastmoney_f10,2026-07-29T23:50:46
2013-03-06,1.0354,1.0354,eastmoney_f10,2026-07-29T23:50:46
2013-03-07,1.0358,1.0358,eastmoney_f10,2026-07-29T23:50:46
2013-03-08,1.0492,1.0492,eastmoney_f10,2026-07-29T23:50:46
2013-03-11,1.05,1.05,eastmoney_f10,2026-07-29T23:50:46
2013-03-12,1.0406,1.0406,eastmoney_f10,2026-07-29T23:50:46
2013-03-13,1.0256,1.0256,eastmoney_f10,2026-07-29T23:50:46
2013-03-14,1.0287,1.0287,eastmoney_f10,2026-07-29T23:50:46
2013-03-15,1.0244,1.0244,eastmoney_f10,2026-07-29T23:50:46
2013-03-18,1.005,1.005,eastmoney_f10,2026-07-29T23:50:46
2013-03-19,1.0031,1.0031,eastmoney_f10,2026-07-29T23:50:46
2013-03-20,1.0144,1.0144,eastmoney_f10,2026-07-29T23:50:46
2013-03-21,1.0132,1.0132,eastmoney_f10,2026-07-29T23:50:46
2013-03-22,1.0079,1.0079,eastmoney_f10,2026-07-29T23:50:46
2013-03-25,1.0135,1.0135,eastmoney_f10,2026-07-29T23:50:46
2013-03-26,1.0166,1.0166,eastmoney_f10,2026-07-29T23:50:46
2013-03-27,1.0239,1.0239,eastmoney_f10,2026-07-29T23:50:46
