trade_date,unit_nav,cum_nav,source,updated_at
2013-04-25,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2013-04-26,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2013-05-03,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2013-05-08,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2013-05-10,1.001,1.001,eastmoney_f10,2026-07-29T23:50:46
2013-05-14,1.001,1.001,eastmoney_f10,2026-07-29T23:50:46
2013-05-15,1.001,1.001,eastmoney_f10,2026-07-29T23:50:46
2013-05-16,1.003,1.003,eastmoney_f10,2026-07-29T23:50:46
2013-05-17,1.004,1.004,eastmoney_f10,2026-07-29T23:50:46
2013-05-20,1.006,1.006,eastmoney_f10,2026-07-29T23:50:46
2013-05-21,1.006,1.006,eastmoney_f10,2026-07-29T23:50:46
2013-05-22,0.999,0.999,eastmoney_f10,2026-07-29T23:50:46
2013-05-23,0.998,0.998,eastmoney_f10,2026-07-29T23:50:46
2013-05-24,0.997,0.997,eastmoney_f10,2026-07-29T23:50:46
2013-05-28,1.002,1.002,eastmoney_f10,2026-07-29T23:50:46
2013-05-29,0.998,0.998,eastmoney_f10,2026-07-29T23:50:46
2013-05-30,1.002,1.002,eastmoney_f10,2026-07-29T23:50:46
2013-05-31,0.994,0.994,eastmoney_f10,2026-07-29T23:50:46
2013-06-03,0.996,0.996,eastmoney_f10,2026-07-29T23:50:46
2013-06-04,0.99,0.99,eastmoney_f10,2026-07-29T23:50:46
2013-06-05,0.98,0.98,eastmoney_f10,2026-07-29T23:50:46
2013-06-06,0.983,0.983,eastmoney_f10,2026-07-29T23:50:46
2013-06-07,0.993,0.993,eastmoney_f10,2026-07-29T23:50:46
2013-06-13,0.985,0.985,eastmoney_f10,2026-07-29T23:50:46
2013-06-14,0.979,0.979,eastmoney_f10,2026-07-29T23:50:46
2013-06-17,0.987,0.987,eastmoney_f10,2026-07-29T23:50:46
2013-06-18,0.996,0.996,eastmoney_f10,2026-07-29T23:50:46
2013-06-19,0.985,0.985,eastmoney_f10,2026-07-29T23:50:46
2013-06-20,0.961,0.961,eastmoney_f10,2026-07-29T23:50:46
2013-06-21,0.958,0.958,eastmoney_f10,2026-07-29T23:50:46
2013-06-24,0.949,0.949,eastmoney_f10,2026-07-29T23:50:46
2013-06-25,0.955,0.955,eastmoney_f10,2026-07-29T23:50:46
2013-06-26,0.964,0.964,eastmoney_f10,2026-07-29T23:50:46
2013-06-27,0.968,0.968,eastmoney_f10,2026-07-29T23:50:46
2013-06-28,0.969,0.969,eastmoney_f10,2026-07-29T23:50:46
2013-06-30,0.969,0.969,eastmoney_f10,2026-07-29T23:50:46
2013-07-01,0.975,0.975,eastmoney_f10,2026-07-29T23:50:46
2013-07-02,0.975,0.975,eastmoney_f10,2026-07-29T23:50:46
2013-07-03,0.98,0.98,eastmoney_f10,2026-07-29T23:50:46
2013-07-05,0.987,0.987,eastmoney_f10,2026-07-29T23:50:46
2013-07-08,0.988,0.988,eastmoney_f10,2026-07-29T23:50:46
2013-07-09,0.993,0.993,eastmoney_f10,2026-07-29T23:50:46
2013-07-10,0.997,0.997,eastmoney_f10,2026-07-29T23:50:46
2013-07-11,1.016,1.016,eastmoney_f10,2026-07-29T23:50:46
2013-07-12,1.022,1.022,eastmoney_f10,2026-07-29T23:50:46
2013-07-15,1.024,1.024,eastmoney_f10,2026-07-29T23:50:46
2013-07-16,1.024,1.024,eastmoney_f10,2026-07-29T23:50:46
2013-07-17,1.026,1.026,eastmoney_f10,2026-07-29T23:50:46
2013-07-18,1.024,1.024,eastmoney_f10,2026-07-29T23:50:46
2013-07-19,1.013,1.013,eastmoney_f10,2026-07-29T23:50:46
2013-07-22,1.016,1.016,eastmoney_f10,2026-07-29T23:50:46
2013-07-23,1.008,1.008,eastmoney_f10,2026-07-29T23:50:46
2013-07-24,1.011,1.011,eastmoney_f10,2026-07-29T23:50:46
2013-07-25,1.019,1.019,eastmoney_f10,2026-07-29T23:50:46
2013-07-26,1.023,1.023,eastmoney_f10,2026-07-29T23:50:46
2013-07-29,1.021,1.021,eastmoney_f10,2026-07-29T23:50:46
2013-07-30,1.027,1.027,eastmoney_f10,2026-07-29T23:50:46
