trade_date,unit_nav,cum_nav,source,updated_at
2013-12-05,1.0,1.0,eastmoney_f10,2026-07-29T23:50:46
2013-12-06,1.0002,1.0002,eastmoney_f10,2026-07-29T23:50:46
2013-12-13,1.0005,1.0005,eastmoney_f10,2026-07-29T23:50:46
2013-12-20,1.0029,1.0029,eastmoney_f10,2026-07-29T23:50:46
2013-12-27,1.005,1.005,eastmoney_f10,2026-07-29T23:50:46
2013-12-31,1.006,1.006,eastmoney_f10,2026-07-29T23:50:46
2014-01-03,1.0049,1.0049,eastmoney_f10,2026-07-29T23:50:46
2014-01-08,1.0064,1.0064,eastmoney_f10,2026-07-29T23:50:46
2014-01-14,1.0068,1.0068,eastmoney_f10,2026-07-29T23:50:46
2014-01-16,1.0073,1.0073,eastmoney_f10,2026-07-29T23:50:46
2014-01-17,1.0063,1.0063,eastmoney_f10,2026-07-29T23:50:46
2014-01-22,1.0093,1.0093,eastmoney_f10,2026-07-29T23:50:46
2014-01-23,1.0025,1.0025,eastmoney_f10,2026-07-29T23:50:46
2014-01-28,0.9845,0.9845,eastmoney_f10,2026-07-29T23:50:46
2014-01-29,0.9752,0.9752,eastmoney_f10,2026-07-29T23:50:46
2014-01-30,0.9821,0.9821,eastmoney_f10,2026-07-29T23:50:46
2014-02-07,0.9882,0.9882,eastmoney_f10,2026-07-29T23:50:46
2014-02-10,0.9911,0.9911,eastmoney_f10,2026-07-29T23:50:46
2014-02-11,1.0026,1.0026,eastmoney_f10,2026-07-29T23:50:46
2014-02-12,1.0033,1.0033,eastmoney_f10,2026-07-29T23:50:46
2014-02-18,1.0151,1.0151,eastmoney_f10,2026-07-29T23:50:46
2014-02-20,1.0157,1.0157,eastmoney_f10,2026-07-29T23:50:46
2014-02-24,1.0205,1.0205,eastmoney_f10,2026-07-29T23:50:46
2014-02-27,1.0249,1.0249,eastmoney_f10,2026-07-29T23:50:46
2014-02-28,1.0277,1.0277,eastmoney_f10,2026-07-29T23:50:46
2014-03-04,1.036,1.036,eastmoney_f10,2026-07-29T23:50:46
2014-03-05,1.0365,1.0365,eastmoney_f10,2026-07-29T23:50:46
2014-03-06,1.0383,1.0383,eastmoney_f10,2026-07-29T23:50:46
2014-03-07,1.0381,1.0381,eastmoney_f10,2026-07-29T23:50:46
2014-03-10,1.0394,1.0394,eastmoney_f10,2026-07-29T23:50:46
2014-03-19,1.031,1.031,eastmoney_f10,2026-07-29T23:50:46
2014-03-20,1.0395,1.0395,eastmoney_f10,2026-07-29T23:50:46
2014-03-24,1.0311,1.0311,eastmoney_f10,2026-07-29T23:50:46
2014-03-25,1.0354,1.0354,eastmoney_f10,2026-07-29T23:50:46
2014-03-26,1.0282,1.0282,eastmoney_f10,2026-07-29T23:50:46
2014-03-27,1.0269,1.0269,eastmoney_f10,2026-07-29T23:50:46
2014-03-28,1.0321,1.0321,eastmoney_f10,2026-07-29T23:50:46
2014-03-31,1.0406,1.0406,eastmoney_f10,2026-07-29T23:50:46
2014-04-02,1.0503,1.0503,eastmoney_f10,2026-07-29T23:50:46
2014-04-03,1.0497,1.0497,eastmoney_f10,2026-07-29T23:50:46
2014-04-08,1.0295,1.0295,eastmoney_f10,2026-07-29T23:50:46
2014-04-09,1.0401,1.0401,eastmoney_f10,2026-07-29T23:50:46
2014-04-10,1.0189,1.0189,eastmoney_f10,2026-07-29T23:50:46
2014-04-11,1.0092,1.0092,eastmoney_f10,2026-07-29T23:50:46
2014-04-14,1.0178,1.0178,eastmoney_f10,2026-07-29T23:50:46
2014-04-15,1.0254,1.0254,eastmoney_f10,2026-07-29T23:50:46
2014-04-16,1.036,1.036,eastmoney_f10,2026-07-29T23:50:46
2014-04-17,1.0374,1.0374,eastmoney_f10,2026-07-29T23:50:46
2014-04-18,1.0374,1.0374,eastmoney_f10,2026-07-29T23:50:46
2014-04-21,1.0409,1.0409,eastmoney_f10,2026-07-29T23:50:46
2014-04-24,1.0447,1.0447,eastmoney_f10,2026-07-29T23:50:46
2014-04-25,1.0361,1.0361,eastmoney_f10,2026-07-29T23:50:46
2014-04-29,1.0439,1.0439,eastmoney_f10,2026-07-29T23:50:46
2014-04-30,1.0474,1.0474,eastmoney_f10,2026-07-29T23:50:46
2014-05-05,1.0473,1.0473,eastmoney_f10,2026-07-29T23:50:46
2014-05-07,1.044,1.044,eastmoney_f10,2026-07-29T23:50:46
2014-05-08,1.043,1.043,eastmoney_f10,2026-07-29T23:50:46
2014-05-09,1.045,1.045,eastmoney_f10,2026-07-29T23:50:46
2014-05-12,1.0558,1.0558,eastmoney_f10,2026-07-29T23:50:46
2014-05-13,1.0566,1.0566,eastmoney_f10,2026-07-29T23:50:46
2014-05-14,1.0521,1.0521,eastmoney_f10,2026-07-29T23:50:46
2014-05-15,1.0421,1.0421,eastmoney_f10,2026-07-29T23:50:46
2014-05-16,1.0455,1.0455,eastmoney_f10,2026-07-29T23:50:46
2014-05-19,1.0496,1.0496,eastmoney_f10,2026-07-29T23:50:46
2014-05-20,1.0425,1.0425,eastmoney_f10,2026-07-29T23:50:46
2014-05-21,1.0515,1.0515,eastmoney_f10,2026-07-29T23:50:46
2014-05-22,1.0543,1.0543,eastmoney_f10,2026-07-29T23:50:46
2014-05-23,1.0591,1.0591,eastmoney_f10,2026-07-29T23:50:46
2014-05-27,1.0654,1.0654,eastmoney_f10,2026-07-29T23:50:46
2014-05-28,1.0645,1.0645,eastmoney_f10,2026-07-29T23:50:46
2014-05-29,1.0704,1.0704,eastmoney_f10,2026-07-29T23:50:46
2014-05-30,1.0722,1.0722,eastmoney_f10,2026-07-29T23:50:46
2014-06-03,1.0728,1.0728,eastmoney_f10,2026-07-29T23:50:46
2014-06-04,1.0747,1.0747,eastmoney_f10,2026-07-29T23:50:46
2014-06-05,1.082,1.082,eastmoney_f10,2026-07-29T23:50:46
2014-06-06,1.0857,1.0857,eastmoney_f10,2026-07-29T23:50:46
2014-06-09,1.0842,1.0842,eastmoney_f10,2026-07-29T23:50:46
2014-06-10,1.0834,1.0834,eastmoney_f10,2026-07-29T23:50:46
2014-06-11,1.0806,1.0806,eastmoney_f10,2026-07-29T23:50:46
2014-06-12,1.0733,1.0733,eastmoney_f10,2026-07-29T23:50:46
2014-06-13,1.0764,1.0764,eastmoney_f10,2026-07-29T23:50:46
2014-06-16,1.0778,1.0778,eastmoney_f10,2026-07-29T23:50:46
2014-06-17,1.0793,1.0793,eastmoney_f10,2026-07-29T23:50:46
2014-06-18,1.0881,1.0881,eastmoney_f10,2026-07-29T23:50:46
2014-06-19,1.0891,1.0891,eastmoney_f10,2026-07-29T23:50:46
2014-06-20,1.0908,1.0908,eastmoney_f10,2026-07-29T23:50:46
2014-06-23,1.0911,1.0911,eastmoney_f10,2026-07-29T23:50:46
2014-06-24,1.0841,1.0841,eastmoney_f10,2026-07-29T23:50:46
2014-06-25,1.0893,1.0893,eastmoney_f10,2026-07-29T23:50:46
2014-06-26,1.0875,1.0875,eastmoney_f10,2026-07-29T23:50:46
2014-06-27,1.0896,1.0896,eastmoney_f10,2026-07-29T23:50:46
2014-06-30,1.0877,1.0877,eastmoney_f10,2026-07-29T23:50:46
2014-07-01,1.0947,1.0947,eastmoney_f10,2026-07-29T23:50:46
2014-07-02,1.0949,1.0949,eastmoney_f10,2026-07-29T23:50:46
2014-07-03,1.1017,1.1017,eastmoney_f10,2026-07-29T23:50:46
2014-07-07,1.0987,1.0987,eastmoney_f10,2026-07-29T23:50:46
