Trade_Date,Asset_ID,Asset_Name,Price,Holding_Weight_Pct,Daily_Contribution_Pct
2025-08-13,CN_ETF:510300.SH,沪深300ETF (510300),4.263,12.731439849871409,0.10481436555859461
2025-08-13,CN_ETF:512890.SH,红利低波ETF (512890),1.198,12.69776855186405,-0.0425129415486961
2025-08-13,CN_ETF:518880.SH,黄金ETF (518880),7.415,7.81584025224958,0.016911225367436406
2025-08-13,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),253.3471,45.39723243897761,0.002821003781607484
2025-08-14,CN_ETF:159981.SZ,能源化工ETF (159981),1.315,6.175881928175571,-0.09369404662920022
2025-08-14,CN_ETF:159985.SZ,豆粕ETF (159985),2.02,11.74004627373148,-0.0347839148110897
2025-08-14,CN_ETF:510300.SH,沪深300ETF (510300),4.256,12.742511671122411,-0.020905484154138804
2025-08-14,CN_ETF:512890.SH,红利低波ETF (512890),1.199,12.7403395453492,0.010599139024928213
2025-08-14,CN_ETF:518880.SH,黄金ETF (518880),7.424,7.84501381963839,0.009486522221206875
2025-08-14,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),252.6682,45.38948525500225,-0.12165199879067849
2025-08-15,CN_ETF:159981.SZ,能源化工ETF (159981),1.317,6.19536018010831,0.009392976316617466
2025-08-15,CN_ETF:159985.SZ,豆粕ETF (159985),2.011,11.70679634488974,-0.05230713686316011
2025-08-15,CN_ETF:510300.SH,沪深300ETF (510300),4.295,12.88024554529067,0.11676643683594162
2025-08-15,CN_ETF:512890.SH,红利低波ETF (512890),1.195,12.71854052920014,-0.04250321783269137
2025-08-15,CN_ETF:518880.SH,黄金ETF (518880),7.401,7.833461394017351,-0.02430432621924639
2025-08-15,CN_INDEX:CBA21801.CS,中债30年国债指数 (CBA21801),251.7228,45.29338495946115,-0.16983229136107791
2025-08-18,CN_ETF:159981.SZ,能源化工ETF (159981),1.317,6.2193175794983,0.0
2025-08-18,CN_ETF:159985.SZ,豆粕ETF (159985),2.023,11.82219311758903,0.06985656695110738
